# time RePsi4 ImPsi4 AbsPsi4
9.720000000000000284e+01 -2.873610609429455180e-06 4.326082015138611315e-23 2.873610609429455180e-06
9.731250000000000000e+01 -2.908946158607229183e-06 -1.145817727885221012e-22 2.908946158607229183e-06
9.742499999999999716e+01 -2.944148351398491795e-06 -3.921329478484941695e-23 2.944148351398491795e-06
9.753749999999999432e+01 -2.978943672087000869e-06 3.102021400323597662e-23 2.978943672087000869e-06
9.765000000000000568e+01 -3.013096799724714544e-06 3.011738288738079739e-22 3.013096799724714544e-06
9.776250000000000284e+01 -3.047402856321347804e-06 1.920456322452945638e-22 3.047402856321347804e-06
9.787500000000000000e+01 -3.081591963173747661e-06 -3.471807781353638750e-23 3.081591963173747661e-06
9.798749999999999716e+01 -3.115383173203473524e-06 1.503010151308833149e-22 3.115383173203473524e-06
9.809999999999999432e+01 -3.148428333890675020e-06 2.636402691268262771e-22 3.148428333890675020e-06
9.821250000000000568e+01 -3.181652771413189718e-06 1.107593438287568627e-22 3.181652771413189718e-06
9.832500000000000284e+01 -3.214746476640511001e-06 1.053420599603069798e-22 3.214746476640511001e-06
9.843750000000000000e+01 -3.247487330071729530e-06 2.420567443332851688e-22 3.247487330071729530e-06
9.854999999999999716e+01 -3.279468657984650201e-06 3.765777943246343618e-22 3.279468657984650201e-06
9.866249999999999432e+01 -3.311560572298360472e-06 3.241205124451405551e-22 3.311560572298360472e-06
9.877500000000000568e+01 -3.343475075491853134e-06 2.355159595864366068e-22 3.343475075491853134e-06
9.888750000000000284e+01 -3.375113079151327304e-06 2.871222361386522892e-22 3.375113079151327304e-06
9.900000000000000000e+01 -3.406075862395421014e-06 2.814981691692021344e-22 3.406075862395421014e-06
9.911249999999999716e+01 -3.436992341960561980e-06 3.801617540782819711e-22 3.436992341960561980e-06
9.922499999999999432e+01 -3.467658613587850568e-06 4.698385825645559127e-22 3.467658613587850568e-06
9.933750000000000568e+01 -3.498140844267672099e-06 3.865736522803214277e-22 3.498140844267672099e-06
9.945000000000000284e+01 -3.528104035849478404e-06 3.261360657154769659e-22 3.528104035849478404e-06
9.956250000000000000e+01 -3.557810935048897111e-06 3.143518930205646056e-22 3.557810935048897111e-06
9.967499999999999716e+01 -3.587183226199873591e-06 3.448660703907660118e-22 3.587183226199873591e-06
9.978749999999999432e+01 -3.616458166318487449e-06 2.969759090435138876e-22 3.616458166318487449e-06
9.990000000000000568e+01 -3.645390161942222572e-06 3.601563062831347913e-22 3.645390161942222572e-06
1.000125000000000028e+02 -3.673855393732201075e-06 3.364248003590657686e-22 3.673855393732201075e-06
1.001250000000000000e+02 -3.701907534318987620e-06 5.711919203287843560e-22 3.701907534318987620e-06
1.002374999999999972e+02 -3.729920716494764055e-06 5.344906687544394257e-22 3.729920716494764055e-06
1.003499999999999943e+02 -3.757726570272526992e-06 5.178746064824537503e-22 3.757726570272526992e-06
1.004625000000000057e+02 -3.784907480602117598e-06 3.722778449882179715e-22 3.784907480602117598e-06
1.005750000000000028e+02 -3.811617583335817225e-06 5.416814210783959824e-22 3.811617583335817225e-06
1.006875000000000000e+02 -3.838302145836283892e-06 4.938336316935165016e-22 3.838302145836283892e-06
1.007999999999999972e+02 -3.864827689374502700e-06 4.637336148719532685e-22 3.864827689374502700e-06
1.009124999999999943e+02 -3.890657130934095226e-06 7.335596952163181957e-22 3.890657130934095226e-06
1.010250000000000057e+02 -3.915986208184766067e-06 5.120802592013296420e-22 3.915986208184766067e-06
1.011375000000000028e+02 -3.941252230801361355e-06 8.117576346816415024e-22 3.941252230801361355e-06
1.012500000000000000e+02 -3.966304491166983995e-06 6.602867224879614959e-22 3.966304491166983995e-06
1.013624999999999972e+02 -3.990681755942052850e-06 6.372027819900068552e-22 3.990681755942052850e-06
1.014749999999999943e+02 -4.014555409428929007e-06 6.971932341500478171e-22 4.014555409428929007e-06
1.015875000000000057e+02 -4.038284079097880057e-06 7.870774772306243971e-22 4.038284079097880057e-06
1.017000000000000028e+02 -4.061662226458355352e-06 7.292469550449716038e-22 4.061662226458355352e-06
1.018125000000000000e+02 -4.084454579916239890e-06 6.457366710394006088e-22 4.084454579916239890e-06
1.019249999999999972e+02 -4.106757252643544028e-06 7.348819678983309810e-22 4.106757252643544028e-06
1.020374999999999943e+02 -4.128805744692464520e-06 7.752011436602184019e-22 4.128805744692464520e-06
1.021500000000000057e+02 -4.150333835454859991e-06 5.806819026203178241e-22 4.150333835454859991e-06
1.022625000000000028e+02 -4.171390944769393658e-06 9.048556710006321535e-22 4.171390944769393658e-06
1.023750000000000000e+02 -4.191977487365875058e-06 8.074845423839119605e-22 4.191977487365875058e-06
1.024874999999999972e+02 -4.212196221013975026e-06 6.735054498505075925e-22 4.212196221013975026e-06
1.025999999999999943e+02 -4.231748117674998461e-06 5.870188388526892414e-22 4.231748117674998461e-06
1.027125000000000057e+02 -4.250926859125790696e-06 6.605804659313764167e-22 4.250926859125790696e-06
1.028250000000000028e+02 -4.269649875728523228e-06 8.309290160286823112e-22 4.269649875728523228e-06
1.029375000000000000e+02 -4.287909145330752484e-06 6.808580997221036714e-22 4.287909145330752484e-06
1.030499999999999972e+02 -4.305420124193802881e-06 7.628534189128615161e-22 4.305420124193802881e-06
